cluster,fgf1_day,fgf1_comparison,grouping,cells_a,cells_b,hub_node,hub_node_name,terminal_names,term_size,query_size,intersection_size,p_value,gene_ids,
165,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0045664,regulation of neuron differentiation,NA,240,142,10,0.0015197020087017,Map1b; Bmp4; Bin1; Rtn4; Dpysl2; Dixdc1; Zfhx2; Mag; Arhgef2; App
166,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:1901653,cellular response to peptide,NA,393,370,20,0.00157997720995346,Map1b; Pik3r3; Bcar1; Fyn; Ptprj; Lgmn; Arhgef2; Hnrnpk; App; Pkm; Ptpn11; Epha4; Prkcz; Inppl1; Irs1; Pnpla3; Rap1gds1; Pxn; Mfn2; Rac1
167,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031589,cell-substrate adhesion,regulation of cell-matrix adhesion; regulation of substrate adhesion-dependent cell spreading,355,578,24,0.00224566421094953,Srcin1; Parvb; Bcar1; Ptprj; Ptpn11; Dnm2; Ephb1; Prkcz; Jam3; Dicer1; Csf1; Coro1c; Ilk; Actg1; Cdc42; Pxn; Mink1; Rac1; Sorbs3; Arl2; Smad3; Vwf; Jak2; Lims2
168,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0010563,negative regulation of phosphorus metabolic process,negative regulation of protein phosphorylation,420,276,17,0.00457833254789301,Pdcd4; Srcin1; Sema4d; Bmp4; Ptpro; Sirt2; Cnksr3; Mapt; Ptprj; Ppp1r16b; Prkcz; Coro1c; Inppl1; Dbndd2; Ilk; Abca2; Impact
169,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0046545,development of primary female sexual characteristics,NA,132,449,12,0.0056059103556545,Bmp4; Slit3; Hnrnpk; Col9a3; Ctnna1; Plekha1; Pla2g4a; Mfn2; Rac1; Dach2; Lhfpl2; Casp3
170,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031102,neuron projection regeneration,NA,66,614,10,0.00576099822204408,Map1b; Rtn4; Mag; Epha4; Nrg1; Ctnna1; Tnr; Map4k4; Jak2; Matn2
171,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0021554,optic nerve development,NA,20,914,7,0.00647009501587696,Ephb1; Nkx2-2; Kcna1; Nav2; Lpar1; Ephb2; Kcnc2
172,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0030534,adult behavior,NA,174,184,9,0.0080579214649171,Zfhx2; Pcdh17; Mapt; Cnp; App; Glrb; Epha4; Abat; Tuba1a
173,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,NA,297,206,12,0.00834678941429394,Srcin1; Sema4d; Fyn; Ptpro; Lingo2; Hnrnpk; App; Epha4; Sema4a; Ephb1; Tuba1a; Nrg1
174,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0022411,cellular component disassembly,NA,454,886,35,0.00845392798805212,Map1b; Snx30; Prickle1; Camsap2; Mical3; Kif19a; Arhgef2; Epha4; Ckap2; Fscn1; Nrg1; Sptbn1; Smurf1; Mfn2; Lima1; Add3; Tmod2; Casp3; Mapre2; Sh3gl2; Shroom2; Kif18a; Eps8; Uvrag; Mical1; Ufc1; Svil; Hspa8; Snx7; Tmem39a; Atpif1; Top2a; Lamc1; Tgfbr1; Cib1
175,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,NA,97,340,9,0.00961899841578715,Bmp4; Fyn; Tcf7l2; Eya2; Sh3rf1; Nrg1; Ctnna1; Tmbim1; Brca1
176,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0090130,tissue migration,epithelial cell migration,324,265,14,0.0112308790367372,Arhgap5; Pik3r3; Bmp4; Bcar1; Rtn4; Lgmn; Pfn2; Ptpn11; Sema4a; Tns3; Dicer1; Coro1c; Zeb2; Gipc1
177,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0061351,neural precursor cell proliferation,NA,208,257,11,0.0136257466872739,Ncor2; Sirt2; Dixdc1; Arhgef2; Rapgef1; Ephb1; Ctnna1; Dct; Rassf10; Ilk; Zeb2
178,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,NA,263,206,11,0.015467875242846,Srcin1; Sema4d; Fyn; Rictor; Ptprj; Arhgef2; App; Ptpn11; Epha4; Prkcz; Nrg1
179,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,NA,218,301,12,0.0170724430024688,Pik3r3; Rtn4; Tcf7l2; Rictor; Aim2; Ptprj; Rapgef1; Nrg1; Ilk; Dlg1; Hsp90ab1; Plekha1
180,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0106027,neuron projection organization,NA,110,175,7,0.0190615281478036,Srcin1; Fyn; Zfp365; Lgmn; App; Epha4; Ephb1
181,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0099003,vesicle-mediated transport in synapse,synaptic vesicle endocytosis,255,507,17,0.0192378578628553,Bin1; Sirt2; Pcdh17; Tbc1d24; Pfn2; Dnm2; Nrg1; Eps15; Slc4a8; Actg1; Syt11; Ston2; Atp6v0d1; Ophn1; Pld1; Sh3gl2; Dnm3
182,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:1902991,regulation of amyloid precursor protein catabolic process,NA,45,449,7,0.0217493275601986,Bin1; Rtn4; App; Epha4; Abca2; Rtn1; Casp3
183,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0010950,positive regulation of endopeptidase activity,NA,174,161,8,0.0254454434012721,St18; Mbp; Cyfip2; Fyn; Aim2; Lgmn; App; Epha4
184,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031529,ruffle organization,NA,57,370,7,0.030994350333865,Arhgap24; Pfn2; Coro1c; Inppl1; Plekha1; Lima1; Rac1
185,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:1990416,cellular response to brain-derived neurotrophic factor stimulus,NA,10,473,4,0.0436725598885463,Tmem108; Dlg1; Wasf1; Sh3gl2
186,Oligodendrocytes,Day14,obob14v14,fgf1_grouping,pos,none,GO:0097581,lamellipodium organization,NA,91,305,11,1.6260550013377E-05,Ptpro; P2ry12; Kit; Hdac4; Cdh13; Vav3; Parvb; Nck1; Kank1; Arhgef7; Ablim2
187,Oligodendrocytes,Day14,obob14v14,fgf1_grouping,pos,none,GO:0032528,microvillus organization,NA,25,147,4,0.0226511179670141,Rap2a; Tnik; Rap1gap; Rapgef2
188,Oligodendrocytes,Day14,obob14v14,fgf1_grouping,pos,none,GO:0099003,vesicle-mediated transport in synapse,NA,255,426,15,0.0357465163165825,Tor1a; Scrn1; Lpar1; Rims2; Diaph1; Sirt2; Pcdh17; Ap2a2; Slc18a2; Cspg5; Rock1; Prkn; Cacnb4; Dnajc6; Pten
189,Oligodendrocytes,Day14,obob14v14,fgf1_grouping,pos,none,GO:0042552,myelination,NA,177,285,10,0.0476220985261039,Scn8a; Tmem163; Cntn1; Nfasc; Lpar1; Acer3; Sirt2; Tenm4; Fyn; Large1
190,Oligodendrocytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0045162,clustering of voltage-gated sodium channels,NA,7,20,2,0.0197141415684342,Ank3; Nfasc
191,Pomc__Glipr1,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,regulation of presynapse assembly,297,141,11,0.00107877445874906,Il1rapl1; Lrrtm3; Gpc4; Il1rapl2; Nrg1; Syndig1; Ntng2; Frmpd4; Ror2; Sipa1l1; Adgrb3
192,Pomc__Glipr1,Day5,obob5v5,fgf1_grouping,pos,none,GO:0099633,protein localization to postsynaptic specialization membrane,NA,40,37,3,0.0478360487876106,Erbb4; Nrxn3; Gpc4
193,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0032409,regulation of transporter activity,regulation of monoatomic ion transmembrane transporter activity,305,206,13,0.00134219072248867,Plcb1; Rnf207; Pde4b; Grm5; Fgf13; Neto1; Rasgrf2; Cacnb4; Ptk2b; Kcnab1; Cacng3; Cabp4; Nlgn1
194,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050890,cognition,NA,358,171,12,0.00617330856091181,Plcb1; Adora1; Tnr; Oprk1; Grm5; Fgf13; Neto1; Shroom4; Brinp1; Kcnab1; Plk2; Tafa2
195,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,206,15,0.0101376720574379,Pycr1; Adora1; Rnf207; Slc24a4; Grm5; Fgf13; Neto1; Cacnb4; Ptk2b; Kcnh7; Kcnk13; Insyn2b; Plk2; Nos1; Nlgn1
196,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048588,developmental cell growth,NA,276,131,9,0.0158883039809759,Slit3; Tnr; Cdkl5; Auts2; Fgf13; Sema5a; Bcl11a; Sorbs2; Prickle1
197,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048511,rhythmic process,NA,354,38,6,0.0173615864585387,Schip1; Slit3; Gpr176; Adora1; Npas2; Oprk1
198,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001952,regulation of cell-matrix adhesion,NA,124,113,6,0.0258588923233717,Epha3; Skap1; Arhgap6; Pcsk5; Peak1; Ptk2b
199,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0009582,detection of abiotic stimulus,NA,128,110,6,0.0265724925154097,Adora1; Ano3; Slc24a4; Crb1; Grm8; Cacnb4
200,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0009581,detection of external stimulus,NA,129,110,6,0.0277766394747603,Adora1; Ano3; Slc24a4; Crb1; Grm8; Cacnb4
201,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007612,learning,NA,185,78,6,0.0299458502315084,Plcb1; Tnr; Oprk1; Grm5; Fgf13; Neto1
202,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0071300,cellular response to retinoic acid,NA,61,142,5,0.0322394084284003,Epha3; Rorb; Ptk2b; Brinp1; Brinp2
203,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,NA,228,96,7,0.0325046982136886,Gpr176; Adora1; Oprk1; Pde4b; Grm5; Htr4; Grm8
204,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0010469,regulation of signaling receptor activity,NA,148,206,8,0.0351323229550089,Adora1; Slc24a4; Neto1; Rasgrf2; Ptk2b; Tafa1; Cacng3; Nlgn1
205,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,NA,297,206,11,0.0361274585002866,Dgkb; Lrrtm4; Cdkl5; Lzts1; Ptk2b; Epha4; Mdga1; Rps6ka5; Ptprt; Lrrtm3; Nlgn1
206,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0061159,establishment of bipolar cell polarity involved in cell morphogenesis,NA,2,131,2,0.0421657797581423,Crb1; Prickle1
207,Pou6f2__Prkcq__Whrn,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048681,negative regulation of axon regeneration,NA,13,123,3,0.0463004790455394,Tnr; Rtn4rl1; Epha4
208,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:1904861,excitatory synapse assembly,regulation of postsynaptic density assembly,38,281,6,0.00518437231883194,Ptprd; Reln; Ptk2b; Srgap2; Il1rap; Sipa1l1
209,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:1902074,response to salt,NA,410,263,16,0.0066372663030345,Syt6; Plcg2; Homer2; Hcn1; Gldc; Lypd1; Amelx; Drd3; Ryr3; Ptk2b; Atp7a; Syt10; Chrna7; Hsp90aa1; Kcnq3; Oprm1
210,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:1904754,positive regulation of vascular associated smooth muscle cell migration,NA,18,159,4,0.00678655012963207,Nr4a3; Pcsk5; Dock5; Atp7a
211,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:0016358,dendrite development,NA,306,204,12,0.00860440255644201,Phactr1; Fat3; Ptprd; Wls; Dgkg; Reln; Atp7a; Cdkl5; Nr3c1; Chrna7; Lrrk2; Srgap2
212,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050803,regulation of synapse structure or activity,NA,297,287,13,0.0418923473184494,Etv5; Ptprd; Reln; Ptk2b; Cdkl5; Chrna7; Adgrl2; Lrrk2; Cdh8; Grid1; Il1rap; Sipa1l1; Ptpro
213,Ppp1r17__Tafa4,Day5,obob5v5,fgf1_grouping,neg,none,GO:0042391,regulation of membrane potential,NA,485,290,17,0.0483327699082603,Kcnq5; Hcn1; Kcnk10; Reln; Kcnk13; Ptk2b; Actn2; Chrna7; Lrrk2; Rgs7bp; Rgs7; Kcnq3; Kcnj3; Oprm1; Grid1; Pkp2; Fgf13
214,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048013,ephrin receptor signaling pathway,NA,38,66,4,0.00443375150581735,Epha3; Epha7; Epha6; Epha10
215,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:1905475,regulation of protein localization to membrane,NA,205,17,4,0.0139595344637522,Dpp10; Sorbs2; Epha3; Cemip
216,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,NA,80,94,5,0.0177270927350157,Plcb1; Casr; Chrm3; Adra1a; Plce1
217,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043270,positive regulation of monoatomic ion transport,NA,264,53,6,0.0255530286822823,Cemip; Sgk1; Plcb1; Casr; Rnf207; Prkg1
218,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0060537,muscle tissue development,NA,484,83,9,0.0361333515855734,Sgcz; Sorbs2; Rbfox1; Adra1a; Prkg1; Erbb4; Schip1; Neb; Ppargc1a
219,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0022898,regulation of transmembrane transporter activity,NA,292,107,8,0.0438509701578544,Plcb1; Rnf207; Chrm3; Prkg1; Ppargc1a; Pde4b; Cacna2d1; Shisa9
220,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:1905145,cellular response to acetylcholine,NA,42,36,3,0.0471089915087976,Sorbs2; Plcb1; Chrm3
221,Sst__Pthlh,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,NA,306,104,8,0.049805369020105,Camk1d; Sgk1; Ptprd; Cdkl5; Fat3; Prkg1; Abi3bp; Grin3a
222,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,action potential initiation,485,229,23,9.00179954565165E-08,Adra1a; Kcnq5; Neto1; Kcnh5; Gabrb2; Chrna7; Scn11a; Grm5; Gabra1; Gabra3; Nedd4l; Pid1; Kcnq3; Kcnj3; Pkp2; Gabrg2; Glra3; Cntnap2; Cnih3; Oprm1; Ptpn3; Kcnn2; Kcnd3
223,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,NA,228,186,13,1.9315170466653E-05,Adra1a; Adgrl2; Grm7; Adcy8; Pth2r; Grm5; Htr4; Oprk1; Grm8; Calcrl; Adgrb3; Oprm1; Htr7
224,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,NA,306,414,21,3.70044068100318E-05,Fat3; Epha4; Chrna7; Prkg1; Nedd4l; Csmd3; Adgrb3; Nrp1; Cask; Cntnap2; Srgap2; Wls; Lrrk2; Dock10; Ephb1; Camk1d; Grin3a; Zdhhc15; Dab1; Epha5; Ctnna2
225,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050890,cognition,learning,358,186,14,0.000566661623452076,Neto1; Grm7; Aff2; Adcy8; Chrna7; Grm5; Foxp2; Oprk1; Plcb1; Slc24a2; Kcnab1; Adgrb3; Cntnap2; Htr7
226,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0060004,reflex,NA,28,257,6,0.000571859989380685,Adra1a; Scn11a; Foxp2; Pcdh15; Satb1; Npsr1
227,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007214,gamma-aminobutyric acid signaling pathway,NA,29,160,5,0.00186443183589398,Gabrb2; Htr4; Gabra1; Gabra3; Gabrg2
228,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,NA,297,414,18,0.00246911823530135,Adgrl2; Epha4; Lingo2; Chrna7; Mdga1; Etv5; Adgrb3; Cask; Flrt2; Pik3r1; Epha7; Lrrk2; Ephb1; Frmpd4; Dgkb; Zdhhc15; Cdh8; Ctnna2
229,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0006820,monoatomic anion transport,chloride transmembrane transport,177,168,9,0.00460569766514277,Ano4; Ano3; Gabrb2; Grm5; Gabra1; Gabra3; Slc4a7; Gabrg2; Glra3
230,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001764,neuron migration,NA,193,415,14,0.00511427222359891,Fat3; Ntng1; Dcc; Prkg1; Mdga1; Nrp1; Sema6a; Flrt2; Srgap2; Kirrel3; Ulk4; Dab1; Ctnna2; Astn2
231,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0008038,neuron recognition,NA,43,172,5,0.0200882353104334,Epha4; Robo1; Cntn6; Nrp1; Cntnap2
232,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001978,regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback,NA,3,54,2,0.0297237364132108,Adra1a; Chrna7
233,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0061588,calcium activated phospholipid scrambling,NA,5,30,2,0.0300944810508246,Ano4; Ano3
234,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,NA,80,174,6,0.0342717741108586,Adra1a; Grm5; Oprk1; Plcb1; Agtr1a; Oprm1
235,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007216,G protein-coupled glutamate receptor signaling pathway,NA,15,89,3,0.0388815821975399,Grm7; Grm5; Grm8
236,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050982,detection of mechanical stimulus,NA,59,521,8,0.0442176837471513,Ano3; Scn11a; Grm8; Pcdh15; Htr7; Adgrv1; Ttn; Scn9a
237,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0048013,ephrin receptor signaling pathway,NA,38,399,6,0.0478168823830867,Epha4; Epha7; Epha6; Ephb1; Epha3; Epha5
238,Sst__Unc13c,Day5,obob5v5,fgf1_grouping,pos,none,GO:0015698,inorganic anion transport,chloride transmembrane transport,181,168,8,0.0484220255751289,Ano4; Ano3; Gabrb2; Gabra1; Gabra3; Slc4a7; Gabrg2; Glra3
239,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001764,neuron migration,NA,193,362,16,1.91694794418422E-05,Nrg1; Nr2f2; Chl1; Dab1; Il1r1; Mdga2; Vegfa; Sema6a; Ctnna2; Flrt2; Auts2; Astn2; Mef2c; Cep85l; Gpm6a; Dclk1
240,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050890,cognition,NA,358,435,22,0.000239475544556788,Nrg1; Chl1; Gria1; Ldlr; Atp1a2; Slc7a11; St3gal4; Nrxn2; Nrxn3; Adcy8; Nrxn1; Adgrb3; Shank2; Nedd9; Mef2c; Atp8a1; Kcnab1; Shc3; Grm7; Fgf13; Fam107a; Meis2
241,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048663,neuron fate commitment,NA,84,164,7,0.00177085628837204,Nrg1; Tgfb2; Eya1; Zfp521; Gli2; Prrx1; Sox9
242,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001505,regulation of neurotransmitter levels,NA,198,322,13,0.00183741266455945,Slc1a2; Slc17a8; Slc6a11; Atp1a2; Sncaip; Gfap; Syn2; Nrxn2; Nrxn3; Nrxn1; Mef2c; P2rx7; Pclo
243,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050803,regulation of synapse structure or activity,NA,297,262,14,0.00313491178555893,Nrg1; Sparcl1; Slc17a8; Slc7a11; Mdga2; Pik3r1; Lrtm1; Ctnna2; Flrt2; Nrxn1; Adgrb3; Shank2; Nedd9; Mef2c
244,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0006836,neurotransmitter transport,NA,211,322,13,0.00374874419615017,Slc1a2; Slc17a8; Slc6a11; Atp1a2; Sncaip; Gfap; Syn2; Nrxn2; Nrxn3; Nrxn1; Mef2c; P2rx7; Pclo
245,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031589,cell-substrate adhesion,NA,355,440,20,0.00415244139155073,Angpt1; Micall2; St6gal1; Pik3r1; Vegfa; Ccdc80; Mertk; Itga6; Itga1; Actn2; Nedd9; Jag1; Ecm2; Eda; Has2; Sned1; Ptprj; Ston1; Fam107a; Cask
246,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031623,receptor internalization,regulation of postsynaptic neurotransmitter receptor internalization,146,43,5,0.00752693021747521,Nrg1; Gsg1l; Gria1; Iqsec1; Angpt1
247,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0090130,tissue migration,positive regulation of epithelial cell migration,324,395,17,0.0150936673730556,Tgfb2; Nr2f2; Iqsec1; Angpt1; Ets1; Vegfa; Gpld1; Sox9; Ccbe1; Hdac9; Mef2c; Robo1; Has2; Sash1; Anxa1; Zeb2; Plpp3
248,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048880,sensory system development,eye development,439,388,20,0.0152001378180625,Tgfb2; Slc17a8; Meis1; Frem2; Slc7a11; Vegfa; Crybg3; Sox9; Mertk; Mitf; Bmpr1b; Tspan12; Pbx4; Jag1; Aldh1a1; Tenm3; Gpm6a; Dclk1; Vim; Zeb2
249,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0060537,muscle tissue development,cardiac muscle tissue development,484,43,7,0.0226465765084098,Sgcz; Nrg1; Tgfb2; Eya1; Nr2f2; Meis1; Angpt1
250,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001667,ameboidal-type cell migration,positive regulation of epithelial cell migration,444,395,20,0.0232919039256181,Tgfb2; Nr2f2; Iqsec1; Angpt1; Sema6d; Tns1; Ets1; Vegfa; Gpld1; Sema6a; Sox9; Ccbe1; Hdac9; Mef2c; Robo1; Has2; Sash1; Anxa1; Zeb2; Plpp3
251,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050900,leukocyte migration,NA,376,185,12,0.0264051312028196,Tgfb2; Flt1; Il1r1; Abr; Fut9; S1pr1; Pik3r1; Vegfa; Dock8; Selp; Itga6; St3gal4
252,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048771,tissue remodeling,NA,193,305,11,0.0293626570843144,Rspo3; Tgfb2; Abr; S1pr1; Vegfa; Mitf; Pparg; Mef2c; Jag1; Igfbp5; P2rx7
253,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0043406,positive regulation of MAP kinase activity,NA,125,388,10,0.0298607032728636,Flt1; Vegfa; Mef2c; Rasgrp1; P2rx7; Fgd2; Robo1; Sash1; Tgfa; Zeb2
254,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0010001,glial cell differentiation,NA,274,395,15,0.0315729156247183,Nrg1; Phgdh; Lama2; Dab1; Ldlr; Gfap; Sox9; Cntn1; Pparg; Hapln1; Ror1; Vim; Ptprj; Zeb2; Plpp3
255,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0038034,signal transduction in absence of ligand,regulation of extrinsic apoptotic signaling pathway in absence of ligand,76,53,4,0.0325158999829507,Nrg1; Tgfb2; Eya1; Eya4
256,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0002691,regulation of cellular extravasation,NA,46,185,5,0.0333715379130039,Il1r1; Abr; Fut9; Selp; St3gal4
257,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050919,negative chemotaxis,NA,45,326,6,0.0347990445329022,Nrg1; Sema6d; Sema6a; Lrtm1; Flrt2; Robo1
258,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0098712,L-glutamate import across plasma membrane,NA,17,87,3,0.0450152122355605,Slc1a2; Slc17a8; Slc7a11
259,Tanycytes,Day5,obob5v5,fgf1_grouping,neg,none,GO:0140239,postsynaptic endocytosis,regulation of postsynaptic neurotransmitter receptor internalization,38,39,3,0.0480383804786438,Nrg1; Gsg1l; Iqsec1
260,Tanycytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,dendritic spine morphogenesis; regulation of dendrite morphogenesis,306,478,29,6.69483498675619E-10,Ephb1; Epha5; Prkg1; Pak3; Grip1; Phactr1; Stau2; Nr2e1; Ntn1; Dip2a; Ptprd; Lrrk2; Srgap2; Abi2; Csmd3; Prex2; Ctnnd2; Ube3a; Adgrb3; Btbd3; Wls; Camk1d; Alk; Mef2c; Tnik; Epha4; Fstl4; Camk2a; Ppp3ca
261,Tanycytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,478,32,5.94613402817623E-07,Dpp6; Kcnq5; Kcnma1; Kcnh7; Grid1; Gabrb3; Kcnc2; Fgf12; Pkp2; Mapt; Cacna2d1; Dgki; Akap6; Pex5l; Lrrk2; Ank3; Gabrb2; Scn8a; Actn2; Pclo; Ank2; Kcnq1; Kcnj3; Mef2c; Prkce; Rims2; Bcl2; Grid2; Unc13b; Nrxn1; Mtnr1b; Ppp3ca
262,Tanycytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,positive regulation of synapse assembly; regulation of postsynaptic density organization,297,460,24,9.50487072741533E-07,Grid1; Ephb1; Pak3; Stau2; Ntn1; Il1rap; Gpm6a; Ptprd; Lrrk2; Ptpro; Lrrn3; Abi2; Negr1; Ube3a; Epha7; Adgrl2; Adgrb3; Flrt2; Cdh2; Mef2c; Epha4; Lrrn1; Grid2; Nrxn1
263,Tanycytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:1902414,protein localization to cell junction,NA,128,467,14,0.000123754007578916,Grip1; Stau2; Mapt; Dlgap1; Dlg2; Nbea; Cgnl1; Pclo; Kif3a; Tnik; Mpp7; Nrxn3; Nrxn1; Camk2a
264,Tanycytes,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001505,regulation of neurotransmitter levels,NA,198,467,17,0.000177127551388736,Grm8; Unc13c; Dgki; Cadps; Ptprn2; Lrrk2; Syt11; Pclo; Hnmt; Syn2; Trim9; Mef2c; Rims2; Nrxn3; Unc13b; Nrxn1; Camk2a
